ct,census_tract,county,city,tot_households,moe_households,tot_less_than_10K,moe_less_than_10K,tot_more_than_200K,moe_more_than_200K,median_income,moe_median_income,tot_families,moe_families
36005000100,Census Tract 1, Bronx County, New York,0.00,13.00,,,,,,,0.00,13.00
36005000200,Census Tract 2, Bronx County, New York,1446.00,212.00,2.80,3.10,17.60,7.50,121171.00,11360.00,1114.00,159.00
36005000400,Census Tract 4, Bronx County, New York,2246.00,286.00,3.60,3.70,11.20,6.00,98242.00,40861.00,1480.00,340.00
36005001600,Census Tract 16, Bronx County, New York,2149.00,184.00,10.30,6.60,5.70,3.10,42957.00,14062.00,1441.00,273.00
36005001901,Census Tract 19.01, Bronx County, New York,1092.00,116.00,8.90,5.60,10.20,6.00,67361.00,25254.00,615.00,133.00
36005001902,Census Tract 19.02, Bronx County, New York,566.00,85.00,13.40,11.80,4.90,5.40,76429.00,49265.00,334.00,89.00
36005001903,Census Tract 19.03, Bronx County, New York,0.00,13.00,,,,,,,0.00,13.00
36005001904,Census Tract 19.04, Bronx County, New York,0.00,13.00,,,,,,,0.00,13.00
36005002001,Census Tract 20.01, Bronx County, New York,1726.00,207.00,20.90,9.50,0.00,2.30,23208.00,9804.00,970.00,229.00
36005002002,Census Tract 20.02, Bronx County, New York,1832.00,454.00,10.90,9.30,6.50,6.70,18029.00,9047.00,918.00,389.00
36005002300,Census Tract 23, Bronx County, New York,1917.00,207.00,31.50,10.40,1.10,1.70,18750.00,9076.00,1164.00,263.00
36005002400,Census Tract 24, Bronx County, New York,0.00,13.00,,,,,,,0.00,13.00
36005002500,Census Tract 25, Bronx County, New York,1903.00,153.00,16.20,7.30,0.00,2.10,27207.00,14366.00,1254.00,240.00
36005002701,Census Tract 27.01, Bronx County, New York,1167.00,114.00,22.80,8.60,0.00,3.40,18788.00,5377.00,797.00,156.00
36005002702,Census Tract 27.02, Bronx County, New York,1508.00,151.00,22.10,9.70,2.70,3.70,31379.00,8563.00,1119.00,195.00
36005002800,Census Tract 28, Bronx County, New York,2717.00,355.00,2.60,2.80,5.40,4.30,66235.00,13287.00,1221.00,332.00
36005003100,Census Tract 31, Bronx County, New York,1104.00,252.00,5.70,4.30,0.00,3.60,43480.00,16614.00,803.00,263.00
36005003300,Census Tract 33, Bronx County, New York,1225.00,173.00,22.50,11.50,7.30,5.50,37957.00,27159.00,858.00,174.00
36005003500,Census Tract 35, Bronx County, New York,1483.00,284.00,11.90,9.60,5.30,5.40,34508.00,7635.00,1038.00,329.00
36005003700,Census Tract 37, Bronx County, New York,158.00,86.00,43.70,33.60,0.00,22.10,,,63.00,47.00
36005003800,Census Tract 38, Bronx County, New York,377.00,26.00,13.80,17.70,1.90,3.00,42614.00,33932.00,246.00,50.00
