ed,county,ab_military,affidavit,trump_con,trump_rep,fed,harris_dem,harris_wor,manually_counted_emergency,public_counter,scattered,Grand Total,harris_tot,trump_tot,prez_votes,
23001,Queens,158.0,18.0,149.0,862.0,2.0,281.0,14.0,0.0,1149.0,13.0,2646.0,295.0,1011.0,1325.0,
23002,Queens,128.0,27.0,121.0,836.0,6.0,268.0,21.0,0.0,1105.0,12.0,2524.0,289.0,957.0,1260.0,
23003,Queens,37.0,8.0,33.0,297.0,0.0,93.0,6.0,0.0,388.0,3.0,865.0,99.0,330.0,433.0,
23004,Queens,161.0,25.0,59.0,812.0,5.0,375.0,16.0,0.0,1090.0,12.0,2555.0,391.0,871.0,1276.0,
23005,Queens,116.0,36.0,60.0,876.0,5.0,315.0,21.0,0.0,1137.0,11.0,2577.0,336.0,936.0,1289.0,
23006,Queens,124.0,23.0,60.0,798.0,4.0,352.0,19.0,0.0,1100.0,14.0,2494.0,371.0,858.0,1247.0,
23007,Queens,142.0,39.0,65.0,824.0,5.0,424.0,17.0,0.0,1174.0,19.0,2709.0,441.0,889.0,1355.0,
23008,Queens,123.0,23.0,55.0,538.0,4.0,404.0,39.0,0.0,909.0,19.0,2114.0,443.0,593.0,1055.0,
23009,Queens,116.0,27.0,30.0,305.0,0.0,346.0,39.0,0.0,590.0,9.0,1462.0,385.0,335.0,733.0,
23010,Queens,121.0,32.0,56.0,706.0,2.0,434.0,31.0,0.0,1095.0,10.0,2487.0,465.0,762.0,1248.0,
23011,Queens,67.0,66.0,23.0,259.0,2.0,614.0,39.0,0.0,815.0,8.0,1893.0,653.0,282.0,948.0,
23012,Queens,45.0,15.0,7.0,87.0,0.0,176.0,23.0,0.0,247.0,8.0,608.0,199.0,94.0,307.0,
23013,Queens,55.0,31.0,17.0,248.0,3.0,480.0,55.0,0.0,736.0,16.0,1641.0,535.0,265.0,822.0,
23014,Queens,41.0,26.0,28.0,360.0,1.0,309.0,10.0,0.0,654.0,5.0,1434.0,319.0,388.0,721.0,
23015,Queens,50.0,13.0,30.0,407.0,0.0,408.0,13.0,0.0,808.0,7.0,1736.0,421.0,437.0,871.0,
23016,Queens,36.0,14.0,12.0,217.0,1.0,260.0,12.0,0.0,455.0,4.0,1011.0,272.0,229.0,505.0,
23017,Queens,53.0,7.0,26.0,463.0,2.0,177.0,9.0,0.0,620.0,6.0,1363.0,186.0,489.0,680.0,
23018,Queens,79.0,30.0,13.0,215.0,1.0,557.0,37.0,0.0,740.0,19.0,1691.0,594.0,228.0,849.0,
23019,Queens,59.0,9.0,3.0,15.0,0.0,119.0,6.0,0.0,80.0,,291.0,125.0,18.0,148.0,
23020,Queens,76.0,46.0,17.0,130.0,5.0,808.0,33.0,0.0,876.0,5.0,1996.0,841.0,147.0,998.0,
23021,Queens,113.0,24.0,17.0,198.0,0.0,590.0,18.0,0.0,699.0,9.0,1668.0,608.0,215.0,836.0,
23022,Queens,30.0,20.0,2.0,35.0,0.0,282.0,12.0,0.0,285.0,,666.0,294.0,37.0,335.0,
23023,Queens,31.0,20.0,4.0,213.0,0.0,200.0,4.0,0.0,376.0,,848.0,204.0,217.0,427.0,
23024,Queens,31.0,28.0,0.0,75.0,0.0,361.0,11.0,0.0,392.0,2.0,900.0,372.0,75.0,451.0,
23025,Queens,101.0,34.0,19.0,335.0,4.0,476.0,11.0,0.0,713.0,2.0,1695.0,487.0,354.0,848.0,
23026,Queens,26.0,27.0,6.0,196.0,0.0,271.0,10.0,0.0,440.0,5.0,981.0,281.0,202.0,493.0,
23027,Queens,80.0,23.0,45.0,953.0,10.0,167.0,2.0,0.0,1070.0,8.0,2358.0,169.0,998.0,1173.0,
23028,Queens,97.0,21.0,18.0,242.0,5.0,488.0,13.0,0.0,651.0,7.0,1542.0,501.0,260.0,769.0,
23029,Queens,55.0,21.0,29.0,607.0,14.0,166.0,6.0,0.0,721.0,2.0,1621.0,172.0,636.0,797.0,
23030,Queens,100.0,13.0,24.0,593.0,18.0,211.0,12.0,0.0,719.0,6.0,1696.0,223.0,617.0,832.0,
23031,Queens,51.0,27.0,32.0,357.0,3.0,486.0,15.0,0.0,825.0,6.0,1802.0,501.0,389.0,903.0,
23032,Queens,63.0,27.0,31.0,524.0,8.0,512.0,17.0,0.0,1003.0,10.0,2195.0,529.0,555.0,1093.0,
