cd,new_pop,pop_u18,hisp,white,black,asian,other_race,multiracial,pop_acs23,dem,rep,blank,third_parties,prim_adams,prim_wiley,prim_garcia,prim_yang,prim_stringer,prim_morales,prim_mcguire,prim_donovan,prim_votes,adams,sliwa,mayor_votes,active_voters_21,mayor_turnout_pct,prez_votes,active_voters_24,prez_turnout_24,active_voters_23,council_turnout_23,incumbent,boro,party,ntas,lar_grp1,lar_grp2,lar_grp3,lar_pop1,lar_pop2,lar_pop3,mhIncome
1,177021.0,25058.0,23882.0,79129.0,8685.0,56732.0,1558.0,7035.0,177021.0,68860.0,9810.0,26525.0,1991.0,3098.0,4468.0,6212.0,5350.0,1272.0,521.0,798.0,448.0,22646.0,16315.0,4747.0,22957.0,100657.0,22.8,59753.0,97368.0,61.4,13483.0,14.5,Christopher Marte,m,D,"Battery Park City, Civic Center, Chinatown, Financial District, Little 
Italy, the Lower East Side, NoHo, SoHo, South Street Seaport, South 
Village, TriBeCa & Washington Square","Chinese, Excluding Taiwanese",Italian,Irish,40617.0,11838.0,10466.0,131217.6
2,182133.0,17026.0,32796.0,102054.0,11676.0,26372.0,1867.0,7368.0,182133.0,77899.0,8113.0,23521.0,2286.0,3461.0,6674.0,9866.0,2958.0,1848.0,657.0,856.0,675.0,27451.0,21310.0,3780.0,27432.0,108977.0,25.2,66089.0,101639.0,65.0,12180.0,12.6,Carlina Rivera,m,D,"East Village, Gramercy Park, Kips Bay, Lower East Side, Murray Hill, Rose 
Hill","Chinese, Excluding Taiwanese",Irish,Italian,15932.0,15107.0,12955.0,132521.6
3,179601.0,15917.0,27679.0,103910.0,11162.0,28048.0,1655.0,7147.0,179601.0,76889.0,9051.0,25456.0,2263.0,3331.0,6458.0,10647.0,3056.0,2155.0,478.0,914.0,768.0,28177.0,22082.0,3540.0,27695.0,105286.0,26.3,71326.0,101210.0,70.5,16185.0,17.0,Erik Bottcher,m,D,"Chelsea, Hell’s Kitchen, Greenwich Village, West SoHo, Hudson Square, Times 
Square, Garment District, Flatiron, Upper West Side",Irish,Italian,English,18549.0,15209.0,15081.0,139252.7
4,173004.0,20415.0,12689.0,121656.0,4598.0,26423.0,1388.0,6250.0,173004.0,67701.0,15459.0,27826.0,2646.0,3871.0,3660.0,10784.0,3031.0,1668.0,271.0,1995.0,871.0,26376.0,23169.0,6089.0,30930.0,105191.0,29.4,74322.0,103535.0,71.8,18121.0,18.6,Keith Powers,m,D,"Upper East Side, Carnegie Hill, Yorkville, Central Park South, Midtown 
East, Times Square, Koreatown, Stuyvesant Town and Peter Cooper Village, 
Waterside Plaza, Tudor City, Turtle Bay, Murray Hill, Sutton Place",Irish,Italian,German,16938.0,13665.0,11842.0,174965.3
5,173457.0,24259.0,14920.0,123033.0,5489.0,21903.0,1403.0,6709.0,173457.0,72346.0,13152.0,26407.0,2500.0,4091.0,4937.0,11858.0,3261.0,1903.0,369.0,1610.0,942.0,29306.0,26170.0,6456.0,34650.0,107411.0,32.3,78593.0,103441.0,76.0,18774.0,19.2,Julie Menin,m,D,"Upper East Side's Yorkville, Lenox Hill, Carnegie Hill, Roosevelt Island, 
Midtown East, Sutton Place, El Barrio in East Harlem",Irish,Italian,German,16081.0,14462.0,12124.0,154655.5
6,178772.0,25680.0,21024.0,119498.0,8701.0,20458.0,1639.0,7452.0,178772.0,87213.0,9337.0,24531.0,2177.0,4870.0,6239.0,16708.0,3311.0,3452.0,475.0,1775.0,889.0,38066.0,31454.0,4810.0,38742.0,114405.0,33.9,83096.0,111227.0,74.7,22610.0,21.4,Gale A. Brewer,m,D,"Central Park, Lincoln Square, Upper West Side, Clinton",German,Irish,Italian,14560.0,14060.0,12727.0,167251.0
7,174892.0,23736.0,59678.0,62035.0,26747.0,17779.0,1968.0,6685.0,174892.0,91853.0,5246.0,19344.0,2253.0,5830.0,7822.0,9568.0,2065.0,2713.0,1010.0,1022.0,688.0,31406.0,25695.0,2623.0,31462.0,113452.0,27.7,66837.0,107929.0,61.9,14624.0,14.0,Shaun Abreu,m,D,"m Valley, mville, Morningside Heights, Hamilton Heights",Dominican,Irish,Puerto Rican,31147.0,9614.0,8719.0,88059.4
8,184429.0,40824.0,100722.0,21702.0,45578.0,10290.0,1784.0,4353.0,184429.0,77140.0,5839.0,20357.0,2423.0,5469.0,3087.0,2035.0,1462.0,797.0,870.0,485.0,392.0,15173.0,13466.0,2281.0,17031.0,104527.0,16.3,46672.0,94351.0,49.5,6742.0,11.6,Diana Ayala,m/bx,D,"El Barrio/East Harlem, Mott Haven, Highbridge, Concourse, Longwood, Port 
Morris",Puerto Rican,Dominican,Mexican,36915.0,24324.0,14522.0,44305.1
9,171591.0,31610.0,44892.0,26471.0,84087.0,6990.0,1880.0,7271.0,171591.0,90711.0,3848.0,17923.0,2517.0,10699.0,8139.0,3300.0,1235.0,1231.0,725.0,1011.0,587.0,27622.0,24594.0,1569.0,28954.0,113709.0,25.5,62960.0,105350.0,59.8,13071.0,12.6,Yusef Salaam,m,D,"Central Harlem, Morningside Heights, Upper West Side, East Harlem",Dominican,S African African,Puerto Rican,20190.0,12753.0,9952.0,63211.4
10,174667.0,28239.0,115195.0,35879.0,12690.0,5382.0,1630.0,3891.0,174667.0,87326.0,6700.0,19369.0,2133.0,6155.0,6188.0,4639.0,1712.0,1614.0,1257.0,356.0,433.0,23239.0,18592.0,3438.0,24088.0,116361.0,20.7,59450.0,104997.0,56.6,9970.0,9.5,Carmen De La Rosa,m,D,"Washington Heights, Inwood, Marble Hill",Dominican,Puerto Rican,Mexican,82583.0,9104.0,7433.0,74274.6
