,cd,median_income
0,1,131217.6
1,10,74274.6
2,11,78149.6
3,12,67325.1
4,13,81096.6
5,14,43369.5
6,15,38801.3
7,16,41426.9
8,17,38573.3
9,18,51754.0
10,19,101362.2
11,2,132521.6
12,20,65815.3
13,21,75033.0
14,22,95764.9
15,23,97786.1
16,24,87371.5
17,25,73604.5
18,26,91049.7
19,27,97762.7
20,28,89076.9
21,29,100658.9
22,3,139252.7
23,30,88985.8
24,31,91594.2
25,32,96490.4
26,33,136794.0
27,34,96233.8
28,35,107542.4
29,36,77619.0
30,37,71171.5
31,38,80807.7
32,39,146886.7
33,4,174965.3
34,40,83864.4
35,41,57423.8
36,42,57903.2
37,43,67215.8
38,44,67780.8
39,45,84909.0
40,46,95624.0
41,47,78952.9
42,48,71197.4
43,49,83071.9
44,5,154655.4
45,50,103046.2
46,51,115573.0
47,6,167251.0
48,7,88059.4
49,8,44305.1
50,9,63211.4
