,ct,ethnicity,population
0,36005000100,Puerto Rican,197.0
1,36005000200,Puerto Rican,1273.0
2,36005000400,Puerto Rican,2077.0
3,36005001600,Puerto Rican,1843.0
4,36005001901,Dominican,370.0
5,36005001902,Puerto Rican,445.0
6,36005001903,,
7,36005001904,,
8,36005002001,Puerto Rican,979.0
9,36005002002,Puerto Rican,1554.0
10,36005002300,Puerto Rican,1552.0
11,36005002400,,
12,36005002500,Puerto Rican,1137.0
13,36005002701,Puerto Rican,1217.0
14,36005002702,Puerto Rican,1393.0
15,36005002800,Puerto Rican,1434.0
16,36005003100,Puerto Rican,648.0
17,36005003300,Puerto Rican,1012.0
18,36005003500,Puerto Rican,1163.0
19,36005003700,Puerto Rican,144.0
20,36005003800,Dominican,515.0
21,36005003900,Mexican,2414.0
22,36005004001,Bangladeshi,340.0
23,36005004100,Puerto Rican,2297.0
24,36005004200,Dominican,2759.0
25,36005004300,Puerto Rican,1868.0
26,36005004400,Puerto Rican,1379.0
27,36005004600,Puerto Rican,740.0
28,36005004800,Dominican,1118.0
29,36005005001,Dominican,948.0
30,36005005002,Mexican,1499.0
31,36005005100,Dominican,2120.0
32,36005005200,Puerto Rican,720.0
33,36005005300,Dominican,1350.0
34,36005005400,Dominican,972.0
35,36005005600,Dominican,728.0
36,36005005902,Dominican,833.0
37,36005006000,Dominican,628.0
38,36005006100,S African African,452.0
39,36005006200,Puerto Rican,1662.0
40,36005006301,Dominican,1372.0
41,36005006302,,
42,36005006400,Dominican,888.0
43,36005006500,Dominican,1329.0
44,36005006700,Mexican,1784.0
45,36005006800,Puerto Rican,944.0
46,36005006900,Puerto Rican,1647.0
47,36005007000,Puerto Rican,844.0
48,36005007100,Dominican,600.0
49,36005007200,Bangladeshi,1612.0
50,36005007300,Puerto Rican,953.0
51,36005007400,Puerto Rican,1579.0
52,36005007500,Puerto Rican,2235.0
53,36005007600,Dominican,1315.0
54,36005007700,Mexican,540.0
55,36005007800,Dominican,1004.0
56,36005007900,Puerto Rican,1224.0
57,36005008300,Puerto Rican,1935.0
58,36005008400,Puerto Rican,892.0
59,36005008500,Puerto Rican,1596.0
60,36005008600,Puerto Rican,1031.0
61,36005008700,Dominican,2269.0
62,36005008900,Puerto Rican,820.0
63,36005009000,Puerto Rican,1425.0
64,36005009200,Puerto Rican,1618.0
65,36005009301,Dominican,1475.0
66,36005009302,Puerto Rican,38.0
67,36005009600,Puerto Rican,563.0
68,36005009800,Puerto Rican,1469.0
69,36005011000,,
70,36005011502,Puerto Rican,1502.0
71,36005011701,Dominican,461.0
72,36005011702,,
73,36005011800,Irish,1358.0
74,36005011900,Dominican,1415.0
75,36005012101,Dominican,1104.0
76,36005012102,Puerto Rican,492.0
77,36005012300,Dominican,958.0
78,36005012500,Dominican,1636.0
79,36005012701,Puerto Rican,870.0
80,36005012901,Dominican,2018.0
81,36005013000,Puerto Rican,275.0
82,36005013100,Dominican,1428.0
83,36005013200,Puerto Rican,1667.0
84,36005013300,Dominican,1735.0
85,36005013500,Puerto Rican,657.0
86,36005013800,Irish,666.0
87,36005014100,Dominican,1475.0
88,36005014300,Dominican,552.0
89,36005014400,Puerto Rican,2221.0
90,36005014500,Dominican,1091.0
91,36005014701,Puerto Rican,939.0
92,36005014702,Puerto Rican,1335.0
93,36005014900,Dominican,1415.0
94,36005015100,Dominican,1370.0
95,36005015200,Puerto Rican,766.0
96,36005015300,Dominican,1011.0
97,36005015500,Dominican,894.0
98,36005015700,Puerto Rican,1091.0
99,36005015800,Puerto Rican,412.0
100,36005015900,Dominican,1232.0
101,36005016000,Italian,1541.0
102,36005016100,Dominican,1293.0
103,36005016200,Puerto Rican,462.0
104,36005016300,,
105,36005016400,Italian,209.0
106,36005016500,S African African,397.0
107,36005016600,Puerto Rican,743.0
108,36005016700,Puerto Rican,784.0
109,36005016900,Dominican,369.0
110,36005017100,,
111,36005017300,Dominican,1212.0
112,36005017500,Dominican,1126.0
113,36005017701,Dominican,1180.0
114,36005017702,S African African,1409.0
115,36005017901,Dominican,2244.0
116,36005017902,Dominican,1805.0
117,36005018101,Dominican,946.0
118,36005018102,Dominican,1720.0
119,36005018301,Dominican,1200.0
120,36005018302,Dominican,542.0
121,36005018400,Puerto Rican,742.0
122,36005018501,Puerto Rican,963.0
123,36005018502,Dominican,2233.0
124,36005018900,Dominican,2841.0
125,36005019300,Dominican,1329.0
126,36005019400,Puerto Rican,607.0
127,36005019500,S African African,1795.0
128,36005019700,Mexican,2177.0
129,36005019900,Dominican,2441.0
130,36005020000,Dominican,1099.0
131,36005020100,Dominican,1771.0
132,36005020200,Puerto Rican,604.0
133,36005020400,Dominican,1041.0
134,36005020501,Dominican,3182.0
135,36005020502,Dominican,1203.0
136,36005020601,Bangladeshi,508.0
137,36005020900,Dominican,1874.0
138,36005021001,Puerto Rican,1490.0
139,36005021002,Bangladeshi,1118.0
140,36005021100,Dominican,2505.0
141,36005021200,Asian Indian,924.0
142,36005021301,Dominican,556.0
143,36005021302,Dominican,1578.0
144,36005021501,Dominican,2802.0
145,36005021502,Dominican,2778.0
146,36005021601,Dominican,1627.0
147,36005021602,Asian Indian,1249.0
148,36005021700,Dominican,1631.0
149,36005021800,Puerto Rican,1844.0
150,36005021900,Dominican,443.0
151,36005022000,Puerto Rican,436.0
152,36005022101,Dominican,1689.0
153,36005022102,Dominican,2435.0
154,36005022200,Asian Indian,764.0
155,36005022300,Dominican,2834.0
156,36005022401,Puerto Rican,652.0
157,36005022403,Dominican,531.0
158,36005022404,Dominican,1079.0
159,36005022500,Mexican,2772.0
160,36005022701,Dominican,1540.0
161,36005022702,Dominican,561.0
162,36005022703,Dominican,522.0
163,36005022800,Puerto Rican,1621.0
164,36005022901,Dominican,1537.0
165,36005022902,Dominican,1438.0
166,36005023000,Dominican,612.0
167,36005023100,S African African,400.0
168,36005023200,Dominican,429.0
169,36005023301,Dominican,1521.0
170,36005023302,Dominican,1808.0
171,36005023501,Dominican,1731.0
172,36005023502,Dominican,2021.0
173,36005023600,Dominican,481.0
174,36005023702,Dominican,359.0
175,36005023703,Dominican,1784.0
176,36005023704,Dominican,1510.0
177,36005023800,Dominican,687.0
178,36005023900,Dominican,3779.0
179,36005024000,Dominican,1223.0
180,36005024100,Dominican,2790.0
181,36005024300,Dominican,1936.0
182,36005024400,Puerto Rican,544.0
183,36005024501,Dominican,2549.0
184,36005024502,Dominican,1806.0
185,36005024600,Puerto Rican,337.0
186,36005024700,Dominican,447.0
187,36005024800,Dominican,720.0
188,36005024900,,
189,36005025000,Dominican,501.0
190,36005025100,Dominican,2293.0
191,36005025200,Dominican,654.0
192,36005025300,Dominican,2409.0
193,36005025400,Italian,459.0
194,36005025500,Dominican,3685.0
195,36005025600,Puerto Rican,333.0
196,36005025700,Dominican,1096.0
197,36005026100,Dominican,397.0
198,36005026300,Dominican,4289.0
199,36005026400,Puerto Rican,1349.0
200,36005026500,Dominican,3477.0
201,36005026601,Puerto Rican,1061.0
202,36005026602,Puerto Rican,1365.0
203,36005026701,Dominican,1439.0
204,36005026702,Dominican,3468.0
205,36005026900,Dominican,1489.0
206,36005027300,Dominican,3233.0
207,36005027401,Italian,1771.0
208,36005027402,Italian,1181.0
209,36005027600,Russian,8.0
210,36005027700,Dominican,2047.0
211,36005027900,Dominican,2094.0
212,36005028100,Puerto Rican,616.0
213,36005028300,Dominican,820.0
214,36005028400,Puerto Rican,52.0
215,36005028500,Dominican,787.0
216,36005028600,Italian,261.0
217,36005028700,Dominican,794.0
218,36005028800,Italian,1117.0
219,36005028900,Dominican,1419.0
220,36005029301,Puerto Rican,254.0
221,36005029302,Irish,657.0
222,36005029500,Dominican,1317.0
