,ct,pop,pop_u18,hisp,white,black,asian,other_race,multiracial,cd
0,36005000100,3538,0,866,958,1545,79,27,63,22
1,36005000200,5177,882,3198,77,1517,311,33,41,18
2,36005000400,6481,1446,3483,333,2481,19,80,85,18
3,36005001600,6011,1266,3299,104,2087,282,157,82,18
4,36005001901,2401,556,1085,355,875,12,36,38,8
5,36005001902,1979,225,961,93,343,0,30,78,8
6,36005001903,0,0,0,0,0,0,0,0,8
7,36005001904,0,0,0,0,0,0,0,0,17
8,36005002001,4300,1244,2142,24,1698,0,158,331,18
9,36005002002,3689,580,2730,35,904,0,0,20,18
10,36005002300,4527,1300,3179,7,1284,0,276,0,8
11,36005002400,0,0,0,0,0,0,0,0,18
12,36005002500,5460,1359,3835,433,1133,0,248,59,8
13,36005002701,2830,982,2176,25,602,27,0,0,8
14,36005002702,5156,1599,3573,8,1520,0,58,55,8
15,36005002800,5420,866,2144,33,3243,0,54,0,18
16,36005003100,2641,741,1397,47,913,166,102,29,8
17,36005003300,3407,1046,2137,92,1178,0,93,0,8
18,36005003500,3529,962,2739,126,474,24,6,166,8
19,36005003700,285,58,201,16,68,0,0,0,8
20,36005003800,1215,325,1037,4,128,46,0,0,18
21,36005003900,6346,1756,5770,251,118,16,287,172,8
22,36005004001,1378,309,711,17,175,397,44,34,18
23,36005004100,6272,1491,4039,55,2003,68,153,0,8
24,36005004200,7976,2196,5533,56,2369,18,49,0,18
25,36005004300,5041,1226,3317,64,1409,0,203,92,8
26,36005004400,4323,1155,2769,46,1238,141,120,23,18
27,36005004600,1784,632,1204,61,502,0,0,17,18
28,36005004800,4139,1146,3257,59,673,130,9,11,18
29,36005005001,4597,1430,3111,27,1376,67,247,0,18
30,36005005002,6338,2016,4478,22,1535,0,262,162,18
31,36005005100,6795,2091,4056,82,2430,0,0,227,8
32,36005005200,1787,565,1245,0,523,0,75,0,17
33,36005005300,4596,1387,2124,124,2153,0,77,118,16
34,36005005400,5306,1560,3415,26,1391,110,207,305,17
35,36005005600,2531,528,1797,50,315,107,103,170,17
36,36005005902,3044,508,1506,763,701,62,0,12,16
37,36005006000,1220,328,1033,6,172,0,11,0,15
38,36005006100,3835,490,652,59,3080,30,10,14,16
39,36005006200,6206,1813,4295,19,1868,24,0,0,17
40,36005006301,6244,1362,2692,1156,2232,100,0,64,8
41,36005006302,0,0,0,0,0,0,0,0,16
42,36005006400,3847,993,2090,145,1280,59,0,273,18
43,36005006500,5182,1587,3514,242,1355,69,0,0,17
44,36005006700,5892,1426,4846,31,986,0,0,29,17
45,36005006800,2621,747,1704,0,302,279,248,88,18
46,36005006900,6524,1375,4257,44,2180,38,16,5,17
47,36005007000,4201,963,2219,238,877,385,430,52,18
48,36005007100,2562,421,1691,61,731,79,0,0,17
49,36005007200,5371,1092,1811,218,568,2553,38,188,18
50,36005007300,4555,1313,2407,18,2013,72,184,45,8
51,36005007400,3281,707,2013,68,1107,0,0,93,18
52,36005007500,6543,2001,4210,34,2082,29,53,188,17
53,36005007600,5317,1204,3228,91,1248,568,183,86,18
54,36005007700,1996,437,1653,21,318,0,51,4,17
55,36005007800,5858,1679,3297,190,1244,266,707,154,18
56,36005007900,6987,2291,5198,25,1687,0,286,0,8
57,36005008300,6588,1555,5642,31,819,0,141,54,17
58,36005008400,2716,415,1627,94,720,275,0,0,18
59,36005008500,5665,1387,3871,68,1225,140,265,114,17
60,36005008600,4117,879,2071,69,1602,185,108,82,18
