,county,status,dem,rep,con,wor,oth,blank,total,pct_dem,pct_rep,pct_con,pct_wor,pct_oth,pct_blank
0,Richmond,Active,119569,101396,4111,1136,7522,78998,312732,38.23369530460586,32.42264942506683,1.314544082473172,0.36325032296023435,2.405254339178594,25.260606525715307
1,Richmond,InActive,7883,6006,228,64,575,4485,19241,40.96980406423783,31.214593836079207,1.184969596174835,0.33262304454030456,2.9884101657917985,23.30959929317603
2,Richmond,Total,127452,107402,4339,1200,8097,83483,331973,38.392278890150706,32.35263108746796,1.3070340057775782,0.3614751802104388,2.439053778469936,25.147527057923387
3,Bronx,Active,509008,53768,3352,3375,10232,141854,721589,70.53987796377163,7.451333099589933,0.46453036285198357,0.4677177728596196,1.4179817042665561,19.658559096660287
4,Bronx,InActive,40166,3062,228,255,967,10075,54753,73.3585374317389,5.5923876317279415,0.4164155388745822,0.46572790532025643,1.7661132723321098,18.400818220006208
5,Bronx,Total,549174,56830,3580,3630,11199,151929,776342,70.73866929780948,7.3202274255418365,0.4611369731381273,0.4675774336568162,1.4425343469759462,19.5698545228778
6,Kings,Active,1014572,140687,4722,7687,20234,294585,1482487,68.43715998858674,9.489931446279124,0.31851881331843046,0.518520567128076,1.364868629539416,19.871000555148207
7,Kings,InActive,83138,8867,318,543,2049,21342,116257,71.51225302562426,7.627067617433789,0.27353191635772467,0.4670686496296997,1.7624745176634524,18.35760427329107
8,Kings,Total,1097710,149554,5040,8230,22283,315927,1598744,68.66077370736028,9.354468257582202,0.31524746926337177,0.5147791015947519,1.393781618570578,19.76094984562882
9,New York,Active,691185,74910,2019,3080,14339,200382,985915,70.10594219582825,7.598018084723328,0.20478438810647975,0.3124001562000781,1.4543850129067921,20.32447016223508
10,New York,InActive,79147,9554,228,271,2341,23528,115069,68.78220893550827,8.302844380328326,0.19814198437459263,0.23551086739260793,2.034431515004041,20.446862317392174
11,New York,Total,770332,84464,2247,3351,16680,223910,1100984,69.96759262623253,7.671682785580898,0.20409015934836475,0.30436409611765475,1.515008392492534,20.337261940228014
12,Queens,Active,747055,152417,5477,4572,20525,308257,1238303,60.32893403310822,12.30853837873283,0.4422988557727794,0.36921496596551895,1.6575103185569282,24.89350344786373
13,Queens,InActive,51925,8111,353,229,1545,17500,79663,65.18082422203533,10.181640159170506,0.443116628798815,0.2874609291641038,1.9394198059324907,21.96753825489876
14,Queens,Total,798980,160528,5830,4801,22070,325757,1317966,60.62220117969659,12.179980363681613,0.4423482851606187,0.3642734334573123,1.6745500263284485,24.716646711675416
