,cd,dem,rep,con,wor,oth,blank
0,1,69308,9839,221,275,1511,26604
1,10,88529,6761,291,450,1417,19651
2,11,65211,8008,408,386,1608,18934
3,12,76135,4440,295,414,1518,16822
4,13,57601,14970,979,378,1777,21791
5,14,61337,5861,301,372,1049,16965
6,15,59445,5374,326,474,1087,16902
7,16,67378,5216,310,413,1181,17008
8,17,64503,5033,418,545,1128,17255
9,18,67148,5657,354,408,1302,18308
10,19,46242,20846,719,238,2050,27852
11,2,77899,8113,250,363,1673,23521
12,20,39341,9684,272,221,986,23062
13,21,39241,5372,196,232,780,14918
14,22,65457,10419,350,446,1751,24271
15,23,61030,14639,556,295,1927,28353
16,24,54991,13555,351,290,1541,25167
17,25,51014,8757,253,277,1247,22300
18,26,59544,8731,319,401,1435,23785
19,27,78921,4419,243,375,1509,18967
20,28,69496,6051,289,398,1388,20107
21,29,57221,13015,387,304,1737,25476
22,3,76182,8981,198,248,1801,25201
23,30,44219,16882,629,441,1862,26151
24,31,70729,5798,295,373,1439,16428
25,32,49778,20998,916,331,2160,24577
26,33,79082,7074,213,432,1336,20281
27,34,81538,5941,241,761,1322,20893
28,35,95523,4679,197,876,1422,17821
29,36,91021,3150,202,1071,1450,17150
30,37,68429,5475,267,712,1210,18989
31,38,48956,9604,350,381,1180,20480
32,39,91650,7173,278,710,1555,19130
33,4,67701,15459,256,155,2235,27826
34,40,86019,5019,250,733,1546,18084
35,41,76424,3323,186,582,1311,15575
36,42,75585,4249,225,544,1277,16447
37,43,34703,10991,306,205,958,23590
38,44,41271,18396,491,144,837,17388
39,45,78604,6777,270,366,1539,17542
40,46,68309,13901,549,316,1830,20706
41,47,50380,17713,595,354,1900,25338
42,48,37490,25484,407,203,1673,28522
43,49,56114,16302,931,545,2347,24111
44,5,72346,13152,239,194,2067,26407
45,50,39253,38926,1596,329,2789,29824
46,51,33767,53250,1833,330,3045,30761
47,6,87053,9345,190,234,1758,24537
48,7,91624,5259,198,465,1573,19311
49,8,77140,5839,355,590,1478,20357
50,9,90468,3794,225,604,1679,17839
